pressure,temperature,density,viscosity,enthalpy,internal_energy
1.0,273.17,7.931926724569007e-06,8.948308648450952e-06,2501478.7757732426,2375406.0024453555
1.0,300.0,7.222545117623511e-06,9.768410932454845e-06,2551430.655055348,2412975.3067377675
1.0,350.0,6.190751218044084e-06,1.1486161955066347e-05,2645039.9716471387,2483508.686544724
1.0,400.0,5.416906797437142e-06,1.3354539947119274e-05,2739579.408133568,2554972.2074940586
1.0,450.0,4.815028061468069e-06,1.5312940127613916e-05,2835292.366908794,2627609.257436923
1.0,500.0,4.333525160259658e-06,1.7326282771428668e-05,2932348.2506491025,2701589.2350627985
1.0,550.0,3.939568277288896e-06,1.9371713964050015e-05,3030857.1977797304,2777022.2773990207
1.0,600.0,3.611270891990208e-06,2.1433364196393136e-05,3130892.2314746217,2853981.407028304
1.0,650.0,3.333480805733653e-06,2.349981960834337e-05,3232507.091772888,2932520.3637017435
1.0,700.0,3.095375022583506e-06,2.5562711933526075e-05,3335746.71745729,3012684.0860461965
1.0,750.0,2.8890166802098915e-06,2.761584802297377e-05,3440651.559654254,3094513.025096763
1.0,800.0,2.708453132519026e-06,2.9654633326374113e-05,3547258.0470592575,3178043.609492107
1.0,850.0,2.5491323563658474e-06,3.167567109847537e-05,3655597.2481286335,3263306.9076515133
1.0,900.0,2.4075138894897724e-06,3.367647417692304e-05,3765693.100043333,3350326.856730846
1.0,950.0,2.280802630212792e-06,3.565525263812644e-05,3877560.947398159,3439118.8013073765
1.0,1000.0,2.1667624972562677e-06,3.761075454707336e-05,3991206.68958457,3529688.640759984
1.0,1050.0,2.0635833296245407e-06,3.954214490555567e-05,4106626.571226568,3622032.619703445
1.0,1100.0,1.969784086528086e-06,4.144891266697614e-05,4223807.518281002,3716137.6640876993
1.0,1150.0,1.8841412995049922e-06,4.333079871272652e-05,4342727.874878953,3811982.118038571
1.0,1200.0,1.8056354115146258e-06,4.518773968819433e-05,4463358.395206866,3909536.7357384316
1.0,1250.0,1.7334099946503223e-06,4.701982396561937e-05,4585663.365898005,4008765.8038173565
