pressure, temperature, density, viscosity, enthalpy, internal_energy
-34999999, 273.17, 7.93192672456901e-06, 0, 0, 0
-34999999, 300, 7.22254511762351e-06, 0, 0, 0
-34999999, 350, 6.19075121804408e-06, 0, 0, 0
-34999999, 400, 5.41690679743714e-06, 0, 0, 0
-34999999, 450, 4.81502806146807e-06, 0, 0, 0
-34999999, 500, 4.33352516025966e-06, 0, 0, 0
-34999999, 550, 3.9395682772889e-06, 0, 0, 0
-34999999, 600, 3.61127089199021e-06, 0, 0, 0
-34999999, 650, 3.33348080573365e-06, 0, 0, 0
-34999999, 700, 3.09537502258351e-06, 0, 0, 0
-34999999, 750, 2.88901668020989e-06, 0, 0, 0
-34999999, 800, 2.70845313251903e-06, 0, 0, 0
-34999999, 850, 2.54913235636585e-06, 0, 0, 0
-34999999, 900, 2.40751388948977e-06, 0, 0, 0
-34999999, 950, 2.28080263021279e-06, 0, 0, 0
-34999999, 1000, 2.16676249725627e-06, 0, 0, 0
-34999999, 1050, 2.06358332962454e-06, 0, 0, 0
-34999999, 1100, 1.96978408652809e-06, 0, 0, 0
-34999999, 1150, 1.88414129950499e-06, 0, 0, 0
-34999999, 1200, 1.80563541151463e-06, 0, 0, 0
-34999999, 1250, 1.73340999465032e-06, 0, 0, 0
-34999999, 1300, 1.66674037915009e-06, 0, 0, 0
-29999999, 273.17, 7.93192672456901e-06, 0, 0, 0
-29999999, 300, 7.22254511762351e-06, 0, 0, 0
-29999999, 350, 6.19075121804408e-06, 0, 0, 0
-29999999, 400, 5.41690679743714e-06, 0, 0, 0
-29999999, 450, 4.81502806146807e-06, 0, 0, 0
-29999999, 500, 4.33352516025966e-06, 0, 0, 0
-29999999, 550, 3.9395682772889e-06, 0, 0, 0
-29999999, 600, 3.61127089199021e-06, 0, 0, 0
-29999999, 650, 3.33348080573365e-06, 0, 0, 0
-29999999, 700, 3.09537502258351e-06, 0, 0, 0
-29999999, 750, 2.88901668020989e-06, 0, 0, 0
-29999999, 800, 2.70845313251903e-06, 0, 0, 0
-29999999, 850, 2.54913235636585e-06, 0, 0, 0
-29999999, 900, 2.40751388948977e-06, 0, 0, 0
-29999999, 950, 2.28080263021279e-06, 0, 0, 0
-29999999, 1000, 2.16676249725627e-06, 0, 0, 0
-29999999, 1050, 2.06358332962454e-06, 0, 0, 0
-29999999, 1100, 1.96978408652809e-06, 0, 0, 0
-29999999, 1150, 1.88414129950499e-06, 0, 0, 0
-29999999, 1200, 1.80563541151463e-06, 0, 0, 0
-29999999, 1250, 1.73340999465032e-06, 0, 0, 0
-29999999, 1300, 1.66674037915009e-06, 0, 0, 0
-24999999, 273.17, 7.93192672456901e-06, 0, 0, 0
-24999999, 300, 7.22254511762351e-06, 0, 0, 0
